relative_year,mean,std,count,se,ci_low,ci_high,mean_normalized,ci_low_n,ci_high_n
-5,39.54944163870821,42.231626385197266,42,6.516481425583408,26.77713804456473,52.32174523285169,-1.3769637860074582,-14.149267380150938,11.395339808136022
-4,43.532511998507744,44.49950354577149,46,6.561093850710329,30.672768051115497,56.39225594589999,2.6061065737920757,-10.25363737360017,15.465850521184322
-3,44.18095920089043,47.99651149594389,49,6.856644499420556,30.74193598202614,57.61998241975472,3.2545537761747596,-10.18446944268953,16.693576995039052
-2,42.45693313387964,46.581460688837616,49,6.654494384119659,29.414124141005104,55.49974212675417,1.5305277091639695,-11.512281283710564,14.573336702038503
-1,40.92640542471567,44.87963419622267,49,6.4113763137460955,28.36010784977332,53.492702999658015,0.0,-12.566297574942347,12.566297574942347
0,39.092112300888864,42.953103527470084,49,6.136157646781441,27.065243313197243,51.118981288580486,-1.8342931238268037,-13.861162111518425,10.192575863864818
1,37.528244086728655,41.141262521966915,49,5.877323217423845,26.00869058057792,49.04779759287939,-3.3981613379870126,-14.917714844137748,8.121392168163723
2,36.58835901396208,40.14661102450852,49,5.735230146358361,25.347307927099692,47.82941010082446,-4.338046410753591,-15.579097497615976,6.903004676108793
3,34.44023185516592,37.62265110656236,49,5.3746644437946225,23.90588954532846,44.974574165003375,-6.486173569549749,-17.020515879387208,4.048168740287707
4,33.13010981662295,36.071835576033436,49,5.153119368004776,23.02999585533359,43.23022377791231,-7.79629560809272,-17.89640956938208,2.3038183531966396
5,31.883429146862348,34.666977763870044,49,4.952425394838578,22.176675372978735,41.59018292074596,-9.04297627785332,-18.749730051736933,0.663777496030292
