feature,coefficient,abs_coefficient
SE.PRM.NENR.MA,35.963356296323006,35.963356296323006
SE.PRM.NENR.FE,-35.181144704648815,35.181144704648815
school_enrollment_gap,33.7999273866079,33.7999273866079
sanction_x_conflict,-26.463905106199046,26.463905106199046
conflict_intensity,15.452010295040822,15.452010295040822
sanction_x_regime,13.93092394046921,13.93092394046921
regime_score,-11.134234743013286,11.134234743013286
conflict_incidence,-4.7646342720406984,4.7646342720406984
sanction_type_targeted,2.1207578172160186,2.1207578172160186
school_enrollment,-2.047408068940479,2.047408068940479
sanction_type_trade,-1.7605486173903244,1.7605486173903244
sanction_intensity_index_lag1,1.4170268314178533,1.4170268314178533
sanction_active,-1.2102597765024854,1.2102597765024854
sanction_status_sanctioned,-1.21025977596858,1.21025977596858
sanction_type_none,1.2102597756608697,1.2102597756608697
sanction_intensity_index,1.184920404466726,1.184920404466726
log_total_trade_exposure,1.1053361743521375,1.1053361743521375
poverty_rate,1.0264226863673243,1.0264226863673243
log_pharma_imports,-0.7388742618695036,0.7388742618695036
unemployment_rate_change,0.7176763421309938,0.7176763421309938
year,-0.6032564017027956,0.6032564017027956
log_oil_exports,-0.5770448154175909,0.5770448154175909
log_fuel_imports,0.5136945328929489,0.5136945328929489
gini_index,0.5061425454348095,0.5061425454348095
sanction_duration,-0.4701544274625318,0.4701544274625318
gdp_growth,0.45455908882092294,0.45455908882092294
poverty_rate_change,0.4419410360142722,0.4419410360142722
gdp_growth_lag1,0.2576387096696796,0.2576387096696796
unemployment_rate,-0.23705700373099858,0.23705700373099858
poverty_rate_lag1,-0.15243685422048237,0.15243685422048237
unemployment_rate_lag1,0.14308951189027458,0.14308951189027458
gdp_growth_change,-0.06758091276158669,0.06758091276158669
inflation_rate,0.028994809057538054,0.028994809057538054
inflation_rate_change,-0.019076770470575644,0.019076770470575644
inflation_rate_lag1,0.0002311403595312042,0.0002311403595312042
fuel_imports,-3.4579769263681904e-08,3.4579769263681904e-08
oil_exports,-3.448755107206296e-08,3.448755107206296e-08
total_trade_exposure,3.444801485590266e-08,3.444801485590266e-08
pharma_imports,-3.3760681001175934e-08,3.3760681001175934e-08
