Dimension,Outcome,Variable,Coef,SE,P,Sig
Health,Child Mortality U5,Sanction Active,0.6733,1.9061,0.7239,
Health,Child Mortality U5,Sanction Intensity Index,-0.5894,2.5719,0.8187,
Health,Child Mortality U5,Gdp Growth,0.0703,0.068,0.301,
Health,Child Mortality U5,Conflict Incidence,-3.3486,3.1371,0.2858,
Health,Child Mortality U5,Regime Score,-23.2149,3.6136,0.0,***
Education,School Enrollment,Sanction Active,0.4976,1.4094,0.7241,
Education,School Enrollment,Sanction Intensity Index,-1.3733,1.8943,0.4685,
Education,School Enrollment,Gdp Growth,0.0943,0.0173,0.0,***
Education,School Enrollment,Conflict Incidence,1.7194,1.1668,0.1406,
Education,School Enrollment,Regime Score,4.2816,1.1519,0.0002,***
Gender Equity,Se.Prm.Nenr.Fe,Sanction Active,1.0977,1.4715,0.4557,
Gender Equity,Se.Prm.Nenr.Fe,Sanction Intensity Index,-1.1729,2.0042,0.5584,
Gender Equity,Se.Prm.Nenr.Fe,Gdp Growth,0.0804,0.0163,0.0,***
Gender Equity,Se.Prm.Nenr.Fe,Conflict Incidence,1.3688,1.2309,0.2661,
Gender Equity,Se.Prm.Nenr.Fe,Regime Score,3.0518,1.1761,0.0095,**
Economic,Unemployment Rate,Sanction Active,-0.1806,0.4627,0.6962,
Economic,Unemployment Rate,Sanction Intensity Index,0.1453,0.6723,0.8289,
Economic,Unemployment Rate,Gdp Growth,-0.0344,0.0065,0.0,***
Economic,Unemployment Rate,Conflict Incidence,-0.1824,0.3385,0.59,
Economic,Unemployment Rate,Regime Score,2.7441,0.4102,0.0,***
Price Stability,Inflation Rate,Sanction Active,4.6818,3.4904,0.1798,
Price Stability,Inflation Rate,Sanction Intensity Index,-3.071,3.7965,0.4186,
Price Stability,Inflation Rate,Gdp Growth,-0.4008,0.2748,0.1447,
Price Stability,Inflation Rate,Conflict Incidence,28.4603,19.2461,0.1392,
Price Stability,Inflation Rate,Regime Score,-18.6769,10.7713,0.0829,
